id,question,answer
16,การผ่าคลอดสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้ในกรณีใด?  ก. เมื่อมารดาขอให้แพทย์ผ่าคลอดเพราะกลัวเจ็บครรภ์ ข. เมื่อแพทย์ประเมินและมีข้อบ่งชี้ที่เหมาะสม ค. เมื่อมารดาต้องการเลือกวันคลอดเอง ง. เมื่อไม่มีข้อบ่งชี้ของแพทย์ ,
17,การตรวจหาการติดเชื้อเอชไอวีด้วยตนเอง (HIVSST) สามารถทำได้ไม่เกินกี่ครั้งต่อวัน?  ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. ไม่จำกัด ,
18,ผู้ป่วยหัวใจวายเฉียบพลัน เวลา 02:00 น. Dr. Emily Chen ไม่อยู่ (ทำงานเฉพาะจันทร์-พุธ) ใครจะดูแลแทน?  ก. Dr. Sarah Johnson ข. Dr. Michael Williams ค. Dr. Robert Martinez ง. แพทย์เวรฉุกเฉิน ,
19,ในปีงบประมาณ 2568 ยาน้ำมันสารสกัดกัญชามีเงื่อนไขการใช้ยาอย่างไร?  ก. ใช้ในกรณีโรคหัวใจ ข. ใช้เฉพาะกรณีโรคลมชักที่รักษายากและโรคลมชักที่ดื้อยา ค. ใช้สำหรับทุกโรค ง. ใช้ในกรณีโรคเบาหวาน ,
20,การจ่ายค่าติดตามการรักษาบริการผ่าตัดใส่รากฟันเทียมในปีที่ 2 ถึงปีที่ 5 จ่ายในอัตราเท่าใดต่อครั้ง?  ก. 500 บาท ข. 600 บาท ค. 700 บาท ง. 800 บาท ,
21,ระบบใดที่ใช้ติดตามข้อมูลการจ่ายชดเชยโรคเฉพาะสำหรับบริการฝึกทักษะการดำรงชีวิตอิสระสำหรับคนพิการ?  ก. Disability Portal ข. Seamless for DMIS ค. Krungthai Digital Health Platform ง. ระบบประมวลผลการจ่ายเงิน ,
22,หน่วยบริการใดที่สามารถให้บริการยาน้ำมันกัญชาได้?  ก. หน่วยบริการที่มีแพทย์แผนไทยเท่านั้น ข. หน่วยบริการที่มีศักยภาพและบุคลากรตามมาตรฐานที่กระทรวงสาธารณสุขกำหนด ค. หน่วยบริการที่มีแพทย์เฉพาะทาง ง. หน่วยบริการที่อยู่ในเมืองใหญ่เท่านั้น ,
23,บริการผ่าตัดใส่รากฟันเทียมให้บริการแก่ผู้รับบริการที่มีลักษณะอย่างไร?  ก. สูญเสียฟันบางส่วนของขากรรไกรบน ข. สูญเสียฟันทั้งหมดของขากรรไกรบนและหรือขากรรไกรล่าง ค. สูญเสียฟันทั้งหมดของขากรรไกรบนเท่านั้น ง. สูญเสียฟันบางส่วนของขากรรไกรล่าง ,
24,หากมีข้อสงสัยหรือข้อโต๊ะแย้งเรื่องอาการของผู้ป่วยฉุกเฉินวิกฤตสามารถติดต่อสอบถามได้ที่ไหน?  ก. สำนักงานประกันสุขภาพแห่งชาติ ข. ศูนย์ประสานงานคุมครองสิทธิผู้ป่วยฉุกเฉินวิกฤต ค. กรมสนับสนุนบริการสุขภาพ ง. กระทรวงสาธารณสุข ,
25,ในกรณีที่ผู้ป่วยมีหน่วยบริการมากกว่า 1 แห่ง การจ่ายเพิ่มเติมเมื่อผู้ป่วยเสียชีวิตจะไปที่หน่วยบริการใด?  ก. หน่วยบริการที่ให้บริการผู้ป่วยล่าสุด ข. หน่วยบริการที่ให้บริการผู้ป่วยก่อนเสียชีวิต ค. หน่วยบริการที่มีแพทย์ประจำ ง. หน่วยบริการที่อยู่ใกล้บ้านผู้ป่วยที่สุด ,
26,คุณเพ็ญศรี (P011) อายุ 31 ปี มาด้วยอาการปวดข้อ เบื่ออาหาร ควรส่งแผนกไหนก่อน?  ก. แผนกออร์โธปิดิกส์ ข. อายุรกรรม ค. โรคหัวใจ ง. แผนกต่อมไร้ท่อ ,
27,หากต้องการรับคำแนะนำเกี่ยวกับการใช้สิทธิหลักประกันสุขภาพแห่งชาติ ควรติดต่อช่องทางใด?  ก. ศูนย์ข้อมูลกฎหมาย สปสช. ข. สายด่วน สปสช. โทร. 1330 ค. เว็บไซต์ สปสช. ง. ศูนย์บริการสารสนเทศประกันสุขภาพ ,
28,ถ้าจะติดต่อแผนก Cardiology ต้องโทรสอบถามหมายเลขใด?  ก. +1-555-2001 ข. +1-555-2002 ค. +1-555-2003 ง. +1-555-2004 ,
29,การตรวจหาการติดเชื้อเอชไอวีโดยสมัครใจ (Anti-HIV) มีอัตราจ่ายเท่าใดต่อครั้ง?  ก. 100 บาท ข. 120 บาท ค. 140 บาท ง. 160 บาท ,
30,แผนกไหนที่ให้บริการ Spine Surgery?  ก. แผนกโรคหัวใจ ข. แผนกต่อมไร้ท่อ ค. แผนกฉุกเฉิน ง. แผนกออร์โธปิดิกส์ ,
31,การใช้สิทธิหลักประกันสุขภาพแห่งชาติในการรับยาต้องใช้ใบส่งตัวจาก rw. หรือไม่?  ก. ต้องใช้ทุกครั้ง ข. ไม่ต้องใช้ใบส่งตัว ค. ขึ้นอยู่กับดุลยพินิจของแพทย์ ง. ใช้ในบางกรณี ,
32,คุณ John Doe (P001) : ตอนนี้ฉันแอดมิทหากฉันต้องเลือกกินอาหารต่อไปนี้ อาหารไหนที่ปลอดภัย?  ก. ก๋วยเตี๋ยวต้มยำ ข. ข้าวผัด ค. ผัดไท ง. ก๋วยเตี๋ยวเรือ ,
33,การจ่ายค่าใช้จ่ายสำหรับผู้ป่วยฉุกเฉินวิกฤตในปี 2568 ใช้ระบบใด?  ก. ระบบค่าบริการคงที่ (Fixed Fee) ข. ระบบกลุ่มวินิจฉัยโรคร่วม (DRGs) ค. ระบบเบิกจ่ายตรง ง. ไม่มีข้อใดถูกต้อง ,
34,การเปลี่ยนหน่วยบริการประจำในระบบหลักประกันสุขภาพแห่งชาติต่อปีงบประมาณสามารถทำได้กี่ครั้ง?  ก. 2 ครั้ง ข. 3 ครั้ง ค. 4 ครั้ง ง. 5 ครั้ง ,
35,โปรแกรมที่ใช้ในเขต 13 สำหรับบริการตรวจคัดกรองมะเร็งลำไส้ด้วย FIT Test คือโปรแกรมใด?  ก. e-Claim ข. KTB ค. HIS ง. ไม่มีข้อใดถูกต้อง ,
36,สิทธิใดที่สามารถรับบริการสำหรับกรณีค่าใช้จ่ายสูงเกินปกติได้?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิบัตรทอง ค. สิทธิประกันสังคม ง. สิทธิประกันชีวิต ,
37,การรักษาโรคสมองด้วยวิธี STEREOTACTIC RADIOSURGERY เริ่มรับข้อมูลในการเบิกจ่ายตั้งแต่วันใด?  ก. 1 มกราคม 2558 ข. 1 กรกฎาคม 2558 ค. 1 กันยายน 2556 ง. 15 กรกฎาคม 2559 ,
38,แผนก Orthopedics เปิดให้บริการกี่โมงคะ?  ก. 24/7 ข. 08:00-18:00 ค. 06:00-20:00 ง. 07:00-19:00 ,
39,อัตราจ่ายสำหรับการ Counseling สำหรับผู้รับยาในบริการป้องกันการติดเชื้อเอชไอวีด้วยยาต้านไวรัสคือเท่าใด?  ก. 20 บาท/ครั้ง ข. 80 บาท/คน ค. 140 บาท/ครั้ง ง. 240 บาท/ครั้ง ,
40,วิธีการใดต่อไปนี้ใช้ในการตรวจหาเชื้อดื้อยาระ INH + Rifampicin?  ก. TB-LAMP ข. Real-time PCR (Xpert MTB/RIF) ค. Real-time PCR MTB/MDR ง. AFB ,
41,ใครเป็นกลุ่มเป้าหมายสำหรับการใช้ยาน้ำมันกัญชาที่ผลิตจากช่อดอกในปีงบประมาณ 2567 และ 2568?  ก. ผู้ป่วยโรคเบาหวาน ข. ผู้ป่วยโรคมะเร็ง ค. ผู้ป่วยโรคหัวใจ ง. ผู้ป่วยโรคตับ ,
42,ค่าบริการยาเม็ดเสริมธาตุเหล็กและการให้คำแนะนำติดตามมีค่าใช้จ่ายเท่าใด?  ก. 60 บาท ข. 65 บาท ค. 80 บาท ง. 100 บาท ,
43,คุณ Siriporn Kaewdang (P008) แพ้ Penicillin มีอาการไข้ เจ็บคอ ต้องการยาปฏิชีวนะ ขั้นตอนสำคัญคือ?  ก. ให้ Penicillin ข. เช็คการแพ้ก่อน ค. ให้ Azithromycin ง. ส่งแผนกฉุกเฉิน ,
44,กลุ่มใดต่อไปนี้ถือว่าเป็นกลุ่มเสี่ยงสูงที่ต้องได้รับการตรวจค้นหาและคัดกรองวัณโรค?  ก. ผู้สัมผัสผู้ป่วยวัณโรค ข. ผู้สูงอายุ ≥ 65 ปีที่สูบบุหรี่ ค. ผู้ต้องขัง ง. ถูกทุกข้อ ,
45,คุณ Wanchai Duangjai (P020) อายุ 47 ปี มีอาการปวดหลังเรื้อรัง การประกันของเขาครอบคลุมการรักษาหรือไม่?  ก. ครอบคลุมเต็มจำนวน ข. ครอบคลุมบางส่วน ค. ไม่ครอบคลุม ง. ต้องเช็คกับประกัน ,
46,บริการทำหมันเริ่มรับข้อมูลผู้ป่วยนอกที่รับบริการตั้งแต่วันที่เท่าใด?  ก. 1 มกราคม 2550 ข. 1 มกราคม 2555 ค. 1 มกราคม 2558 ง. 1 มกราคม 2560 ,
47,"หากเกิดอุบัติเหตุจากรถจะต้องใช้สิทธิตาม พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถในวงเงินเท่าไร ก่อนที่จะใช้สิทธิหลักประกันสุขภาพแห่งชาติต่อได้?  ก. 10,000 บาท ข. 30,000 บาท ค. 50,000 บาท ง. 80,000 บาท ",
48,หมายเลขคิวผู้ป่วยไหนอยู่ที่ห้อง R002 ?  ก. P001 ข. P002 ค. P003 ง. ไม่มีผู้ป่วย ,
49,การตรวจเลือดคัดกรองภาวะชิดสามารถดำเนินการได้ในกลุ่มใด?  ก. เด็กเล็ก อายุ 0-5 ปี ข. เด็กโตและวัยรุ่นอายุ 6-24 ปี ค. ผู้ใหญ่อายุ 25-59 ปี ง. ถูกทุกข้อ ,
50,"เลนส์แก้วตาเทียมชนิดพับได้มีอัตราจ่ายเท่าใดต่ออัน?  ก. 700 บาท ข. 1,500 บาท ค. 2,800 บาท ง. 3,000 บาท ",
51,ประกาศสำนักงานหลักประกันสุขภาพแห่งชาติ เรื่องการจ่ายค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีบริการการแพทย์แผนไทยและการแพทย์ทางเลือก พ.ศ. 2567 ได้ยกเลิกประกาศปีใด?  ก. 2565 ข. 2566 ค. 2567 ง. 2568 ,
52,อัตราจ่ายสำหรับบริการนวดและประคบอยู่ที่เท่าไหร่ต่อครั้ง?  ก. 200 Point ข. 250 Point ค. 300 Point ง. 350 Point ,
53,หมอมิเชล มีประสบการณ์การทำงานกี่ปี?  ก. 12 ปี ข. 15 ปี ค. 18 ปี ง. 20 ปี ,
54,สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) อยู่ภายใต้การกำกับดูแลของหน่วยงานใด?  ก. กระทรวงศึกษาธิการ ข. กระทรวงสาธารณสุข ค. กระทรวงการคลัง ง. กระทรวงการต่างประเทศ ,
55,แผนกไหนที่ให้บริการ Joint Replacement?  ก. Cardiology ข. Endocrinology ค. Emergency ง. Orthopedics ,
56,ผู้ป่วยหญิงมีอาการแพ้ยารุนแรง หลังฉีดยาปฏิชีวนะ เจ้าหน้าที่พบว่าเป็นคุณ Anchalee Thanakit (P006) ควรหลีกเลี่ยงยาไหน?  ก. Penicillin ข. Shellfish ค. Latex ง. ไม่มีข้อมูลการแพ้ยา ,
57,เงื่อนไขใหม่ 2568 สำหรับค่าพาหนะส่งต่อมีการคำนวณระยะทางจากอะไร?  ก. ระยะทางจาก GPS ข. ระยะทางจากแผนที่ออนไลน์ ค. ระยะทางกรมทางหลวง ง. ระยะทางจากแอปพลิเคชันส่วนตัว ,
58,ผู้มีสิทธิรับบริการรักษาผ่าตัดต้อกระจกประกอบด้วยสิทธิใดบ้าง?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิผู้ประกันตนคนพิการ (D1) ค. ถูกทั้ง ก และ ข ง. ไม่มีข้อใดถูกต้อง ,
59,อัตราค่าบริการเหมาจ่ายสำหรับการคัดกรองรอยโรคเสี่ยงมะเร็งช่องปากอยู่ที่เท่าใดต่อครั้งต่อคน?  ก. 400 บาท ข. 500 บาท ค. 600 บาท ง. 700 บาท ,
60,คนไข้ P010 มี Creatinine = 1.8 mg/dl และ eGFR = 45 ml/min กำลังกิน Losartan และ Amlodipine แต่ความดันยังสูง 150/95 mmHg ควรปรับยาอย่างไร?  ก. ปรึกษาแพทย์เรื่องการเพิ่มขนาด Losartan ข. ปรึกษาแพทย์เรื่องการเพิ่ม Diuretic ค. ปรึกษาแพทย์เรื่องการหยุด ACE inhibitor ง. ปรึกษาแพทย์เฉพาะทางไต ,
61,การปรับปรุงข้อมูลสิทธิหลักประกันสุขภาพแห่งชาติในระบบตรวจสอบสิทธิอัตโนมัติจะทำในวันที่ใดของทุกเดือน?  ก. วันที่ 1 และ 15 ข. วันที่ 10 และ 20 ค. วันที่ 15 และ 28 ง. วันที่ 5 และ 25 ,
62,บริการตรวจคัดกรองและค้นหาวัณโรคในกลุ่มเสี่ยงสูงมีค่าใช้จ่ายเท่าใด?  ก. 50 บาท ข. 100 บาท ค. 400 บาท ง. ไม่มีค่าใช้จ่าย ,
63,คุณประเสริฐ (P005) ได้รับการนัดพบ Dr. Sarah Johnson ที่แผนกโรคหัวใจ เขาต้องหลีกเลี่ยงยาตัวไหน?  ก. Simvastatin ข. Atorvastatin ค. ยาที่มี Codeine ง. ยาที่มี Aspirin ,
64,อัตราจ่ายค่าตรวจ serum creatinine สำหรับผู้ป่วยความดันโลหิตสูงรายใหม่ต่อครั้งเท่าใด?  ก. 30 บาท ข. 45 บาท ค. 60 บาท ง. 75 บาท ,
65,อัตราค่าบริการตรวจคัดกรองพยาธิใบไม้ตับด้วยการตรวจปัสสาวะมีอัตราเท่าใดต่อครั้ง?  ก. 100 บาท ข. 150 บาท ค. 200 บาท ง. 250 บาท ,
66,แผนก Endocrinology เปิดให้บริการกี่โมงครับ?  ก. 24/7 ข. 08:00-18:00 ค. 06:00-20:00 ง. 07:00-19:00 ,
67,การจ่ายชดเชยในระบบหลักประกันสุขภาพแห่งชาติใช้โปรแกรมใดในการประมวลผล?  ก. Microsoft Excel ข. Seamless for DMIS ค. Adobe Illustrator ง. Google Sheets ,
68,ผู้ป่วยล้างไตผ่านทางช่องท้องสามารถรับน้ำยาล้างไตได้ที่ใด?  ก. หน่วยบริการที่เข้าร่วมโครงการบำบัดทดแทนไตกับ สปสช. ข. ร้านขายยาทั่วไป ค. โรงพยาบาลเอกชน ง. เฉพาะโรงพยาบาลในจังหวัด ,
69,คนไข้ P013 หญิง อายุ 33 ปี มีอาการเจ็บหน้าอก หายใจลำบาก กระวนกระวาย อาจเป็นโรคหัวใจหรือวิตกกังวล ควรส่งแผนกไหนก่อน?  ก. แผนกโรคหัวใจ ข. แผนกจิตเวช ค. แผนกฉุกเฉิน ง. แผนกอายุรกรรม ,
70,หากตรวจพบผลดื้อยาระ First-line drugs จะใช้วิธีใดในการวินิจฉัยวัณโรคนี้ต่อไป?  ก. TB-LAMP ข. Line Probe Assay (FQ และ AG/CP) ค. Real-time PCR MTB/RIF ง. AFB ,
71,เบอร์โทรศัพท์ของสำนักงานหลักประกันสุขภาพแห่งชาติ เขต 4 ระยอง คือหมายเลขใด?  ก. 036-213-205 ข. 038-864-313-9 ค. 043-365-200-3 ง. 056-371-831 ,
72,ผู้มีสิทธิใดบ้างที่สามารถรับบริการการรักษาด้วยออกซิเจนความกดดันสูง?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิผู้ประกันตนคนพิการ (D1) ค. สิทธิผู้สูงอายุ ง. ก และ ข ,
73,หน่วยบริการปฐมภูมิมีหน้าที่อะไร?  ก. จัดบริการสาธารณสุขระดับปฐมภูมิอย่างเป็นองค์รวม ข. จัดบริการสาธารณสุขระดับทุติยภูมิ ค. จัดบริการสาธารณสุขเฉพาะทาง ง. จัดบริการสาธารณสุขระดับปฐมภูมิเฉพาะด้าน ,
74,ค่าบริการตรวจคัดกรองมะเร็งลำไส้ด้วย FIT Test จ่ายแบบเหมาจ่ายในอัตราเท่าใดต่อครั้ง?  ก. 40 บาท ข. 50 บาท ค. 60 บาท ง. 70 บาท ,
75,หน่วยบริการรับคำใช้จ่ายจากที่ใดในการให้บริการผู้ป่วยปากแหว่งเพดานโหว่?  ก. กระทรวงสาธารณสุข ข. สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) ค. หน่วยงานเอกชน ง. องค์การอนามัยโลก ,
76,การฉีดวัคซีนไข้หวัดใหญ่ตามฤดูกาลมีเป้าหมายสำหรับกลุ่มใดบ้าง?  ก. หญิงตั้งครรภ์ที่อายุครรภ์ 4 เดือนขึ้นไป ข. เด็กอายุ 6 เดือน ถึง 2 ปี ค. ผู้ป่วยโรคเรื้อรังทุกกลุ่มอายุ ง. ถูกทุกข้อ ,
77,ผู้ที่เดินทางจากต่างจังหวัดและเข้าท้องคลอดสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้อย่างไร?  ก. ต้องขอใบส่งตัวก่อนเข้ารับบริการ ข. ใช้สิทธิได้เฉพาะในจังหวัดที่พักอยู่ ค. เข้ารับบริการในหน่วยบริการในระบบ สปสช. โดยไม่ต้องขอใบส่งตัว ง. ต้องชำระเงินเองก่อนแล้วเบิกคืนภายหลัง ,
78,ประกาศใดถูกยกเลิกโดยประกาศใหม่ในปี พ.ศ. ๒๕๖๖?  ก. ประกาศเรื่องการจ่ายค่าใช้จ่ายเพื่อบริการผู้ป่วยโรคหัวใจ ข. ประกาศเรื่องการจ่ายค่าใช้จ่ายเพื่อบริการผู้ป่วยเบาหวานชนิดที่ ๑ และการดูแลหญิงตั้งครรภ์ที่เป็นเบาหวาน ค. ประกาศเรื่องการจ่ายค่าใช้จ่ายเพื่อบริการผู้ป่วยมะเร็ง ง. ไม่มีข้อใดถูกต้อง ,
79,โปรแกรมใดที่ใช้ในการส่งข้อมูลเพื่อขอรับค่าใช้จ่ายสำหรับบริการอุปกรณ์และอวัยวะเทียมในการบำบัดรักษาโรค?  ก. e-Claim ข. Health Tracker ค. MedClaim ง. HealthPlus ,
80,วัคซีนในข้อใดที่มีการเพิ่มกลุ่มเป้าหมายเป็นกลุ่มผู้ต้องขัง?  ก. วัคซีนพื้นฐาน (EPI) ข. วัคซีนคอตีบ-บาดทะยัก (dT) ในผู้ใหญ่ ค. วัคซีนป้องกันโรคริดสีดวงทวาร ง. วัคซีนป้องกันโรคริดใช้หวัดใหญ่ตามฤดูกาล ,
81,เด็กอายุ 3 ปีที่ฟันกรามผุสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติในการรักษาอะไร?  ก. ถอนฟัน ข. ผ่าฟัน ค. รักษาโพรงประสาทฟันน้ำนม ง. อุดฟัน ,
82,ในเงื่อนไขใหม่ปี 2568 การเบิกค่ารักษาพยาบาลจากกองทุนผู้ประสบภัยจากรถสำหรับสิทธิใดต้องตรวจสอบก่อนจ่ายกรณีอุบัติเหตุแบบมีคู่กรณี?  ก. ข้าราชการ ข. ขสมก. ค. สพฉ. ง. กทม. ,
83,บริการตรวจอัลตราซาวน์ในบริการฝากครรภ์สามารถทำได้กี่ครั้ง?  ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. ไม่จำกัดจำนวนครั้ง ,
84,การให้บริการผู้ป่วยโรคกล้ามเนื้อหัวใจขาดเลือดเฉียบพลันชนิด ST Elevated ในปี 2567 ครอบคลุมผู้มีสิทธิใดบ้าง?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิผู้ประกันตนพิการ (D1) ค. สิทธิประกันสังคม ง. ก และ ข ,
85,กรณีอุบัติเหตุเจ็บป่วยฉุกเฉินสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้ในสถานพยาบาลใด?  ก. เฉพาะโรงพยาบาลรัฐที่อยู่ในระบบหลักประกันสุขภาพแห่งชาติ ข. โรงพยาบาลรัฐและเอกชนที่อยู่ในระบบหลักประกันสุขภาพแห่งชาติ ค. เฉพาะโรงพยาบาลเอกชนเท่านั้น ง. เฉพาะโรงพยาบาลในกรุงเทพมหานคร ,
86,คุณกมล (P010) ต้องทำตรวจเพิ่มเติม แต่แพ้ Contrast dye ควรเลือกการตรวจชนิดไหน?  ก. CT with contrast ข. MRI ค. Ultrasound ง. X-ray ,
87,หน่วยบริการที่ให้บริการในกรณี OPAE ปี 2568 ต้องอยู่ในระบบใด?  ก. ระบบประกันสังคม ข. ระบบ UC ค. ระบบสุขภาพเอกชน ง. ระบบการศึกษา ,
88,ผู้มีสิทธิประกันสังคมสามารถใช้สิทธินโยบายปฐมภูมิไปที่ไหนก็ได้หรือไม่?  ก. ได้ ข. ไม่ได้ ค. ได้เฉพาะกรณีฉุกเฉิน ง. ได้เฉพาะบางพื้นที่ ,
89,ผู้ป่วยที่ต้องใช้ออกซิเจนบำบัดอาการป่วยที่บ้าน สามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้อย่างไร?  ก. ซื้อออกซิเจนเอง ข. เติมถังออกซิเจนที่ รพ.ตามสิทธิ ค. ใช้สิทธิได้เฉพาะบางกรณี ง. ต้องจ่ายค่าใช้จ่ายเอง ,
90,"อัตราจ่ายสำหรับการบริการผ่าตัดผ่านกล้อง MIS ในกรณีนอกเขตปี 2567 คือเท่าใดต่อ AdjRW?  ก. 7,000 บาท ข. 8,350 บาท ค. 9,600 บาท ง. 10,000 บาท ",
91,คนไข้ผู้สูงอายุ มาด้วยอาการลืมง่าย สับสน มีพฤติกรรมเปลี่ยนแปลง ควรพบหมอแผนกไหน?  ก. Neurology ข. Psychiatry ค. Endocrinology ง. Internal Medicine ,
92,การตรวจ Hct (Hematocrit) มีความสำคัญอย่างไรในการดูแลผู้ป่วยโรคโลหิตจางธาลัสซีเมีย?  ก. ใช้สำหรับตรวจสอบระดับธาตุเหล็กในเลือด ข. เพื่อประเมินความต้องการให้เลือด ค. สำหรับตรวจสอบการทำงานของไต ง. เพื่อประเมินระดับน้ำตาลในเลือด ,
93,ทารกที่คลอดออกมาต้องเข้าตู้อบสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้ในกรณีใด?  ก. บิดามีสิทธิประกันสังคม ข. มารดามีสิทธิประกันสังคม ค. บิดาไม่มีสิทธิสวัสดิการใดๆ ด้านการรักษาพยาบาล ง. มารดาไม่มีสิทธิประกันสังคม ,
94,บริการทดสอบการตั้งครรภ์สามารถทำได้กี่ครั้งต่อปี?  ก. ไม่จำกัดจำนวนครั้ง ข. 2 ครั้ง ค. 4 ครั้ง ง. 6 ครั้ง ,
95,ผู้ป่วยเข้ารับการรักษาที่แผนกฉุกเฉิน แต่ห้อง ER01 เต็ม ต้องใช้ห้องสำรอง ห้องไหนเหมาะสม?  ก. R001 ข. R004 ค. R005 ง. R006 ,
96,วัคซีนคอตีบ บาดทะยัก (dT) ควรได้รับทุกๆ กี่ปีในวัยทำงาน?  ก. ทุก 5 ปี ข. ทุก 10 ปี ค. ทุก 15 ปี ง. ทุก 20 ปี ,
97,ในกรณีทั่วไป ผู้ใช้สิทธิหลักประกันสุขภาพแห่งชาติต้องแสดงเอกสารใดเมื่อเข้ารับบริการ?  ก. บัตรประชาชนหรือเอกสารอื่นที่มีเลขประจำตัวประชาชน ข. บัตรนักศึกษา ค. ใบขับขี่ ง. สมุดบัญชีธนาคาร ,
98,คู่มือแนวทางการรักษาโรคมะเร็งในผู้ใหญ่ปี 2566 ครอบคลุมมะเร็งชนิดใดบ้าง?  ก. มะเร็งตับและห่อน้ำดี ข. มะเร็งลำไส้ใหญ่และลำไส้ตรง ค. มะเร็งกระเพาะปัสสาวะ ง. ถูกทุกข้อ ,
